Time (s),Velocity (m/s),Force (N)
0.578,,-0.005
0.58,-0.82,-0.004
0.582,,1.28E-15
0.584,,-0.002
0.586,,1.28E-15
0.588,,-0.002
0.59,,-0.007
0.592,,1.28E-15
0.594,,1.28E-15
0.596,,-0.002
0.598,,-0.007
0.6,-1.25,-0.004
0.602,,0.005
0.604,,0.004
0.606,,0.002
0.608,,-0.005
0.61,,-0.002
0.612,,-0.005
0.614,,-0.005
0.616,,-0.005
0.618,,-0.004
0.62,-0.3,-0.004
0.622,,1.28E-15
0.624,,1.28E-15
0.626,,0.002
0.628,,-0.002
0.63,,-0.005
0.632,,-0.009
0.634,,-0.005
0.636,,0.002
0.638,,-0.009
0.64,1.07,-0.007
0.642,,-0.007
0.644,,-0.002
0.646,,0.002
0.648,,0.004
0.65,,-0.005
0.652,,1.28E-15
0.654,,1.28E-15
0.656,,-0.005
0.658,,-0.002
0.66,1.43,-0.004
0.662,,-0.007
0.664,,0.004
0.666,,1.28E-15
0.668,,-0.005
0.67,,-0.002
0.672,,-0.005
0.674,,1.28E-15
0.676,,-0.002
0.678,,-0.009
0.68,0.05,-0.002
0.682,,-0.004
0.684,,-0.002
0.686,,0.005
0.688,,1.28E-15
0.69,,-0.004
0.692,,-0.005
0.694,,-0.005
0.696,,-0.005
0.698,,-0.002
0.7,-0.08,-0.004
0.702,,1.28E-15
0.704,,-0.002
0.706,,0.005
0.708,,0.004
0.71,,-0.002
0.712,,-0.004
0.714,,-0.002
0.716,,-0.005
0.718,,-0.007
0.72,-0.28,-0.004
0.722,,-0.005
0.724,,-0.004
0.726,,-0.002
0.728,,-0.002
0.73,,-0.007
0.732,,-0.007
0.734,,-0.005
0.736,,-0.002
0.738,,-0.004
0.74,-0.77,-0.009
0.742,,1.28E-15
0.744,,0.002
0.746,,-0.005
0.748,,0.002
0.75,,1.28E-15
0.752,,-0.005
0.754,,-0.005
0.756,,-0.007
0.758,,-0.004
0.76,0.16,-0.005
0.762,,0.004
0.764,,0.002
0.766,,0.004
0.768,,0.002
0.77,,-0.005
0.772,,-0.004
0.774,,-0.009
0.776,,-0.004
0.778,,-0.002
0.78,-0.03,-0.005
0.782,,-0.002
0.784,,0.002
0.786,,0.004
0.788,,-0.002
0.79,,0.002
0.792,,0.002
0.794,,-0.002
0.796,,-0.007
0.798,,-0.007
0.8,0.33,-0.007
0.802,,-0.002
0.804,,0.004
0.806,,-0.002
0.808,,0.002
0.81,,-0.002
0.812,,-0.002
0.814,,-0.005
0.816,,0.002
0.818,,-0.005
0.82,-0.69,-0.004
0.822,,-0.005
0.824,,0.002
0.826,,0.002
0.828,,0.002
0.83,,0.004
0.832,,-0.004
0.834,,-0.007
0.836,,-0.002
0.838,,-0.009
0.84,-1.44,-0.005
0.842,,-0.009
0.844,,1.28E-15
0.846,,-0.004
0.848,,-0.002
0.85,,-0.004
0.852,,-0.005
0.854,,-0.007
0.856,,-0.005
0.858,,-0.005
0.86,0.22,-0.007
0.862,,-0.005
0.864,,0.005
0.866,,-0.002
0.868,,-0.002
0.87,,-0.009
0.872,,1.28E-15
0.874,,-0.004
0.876,,-0.009
0.878,,-0.009
0.88,-0.08,-0.004
0.882,,0.002
0.884,,0.004
0.886,,0.002
0.888,,0.002
0.89,,1.28E-15
0.892,,1.28E-15
0.894,,-0.002
0.896,,-0.002
0.898,,1.28E-15
0.9,1.61,-0.009
0.902,,-0.002
0.904,,0.004
0.906,,1.28E-15
0.908,,-0.002
0.91,,-0.002
0.912,,-0.004
0.914,,-0.007
0.916,,-0.005
0.918,,-0.005
0.92,0.02,-0.007
0.922,,-0.005
0.924,,-0.002
0.926,,1.28E-15
0.928,,-0.002
0.93,,-0.007
0.932,,1.28E-15
0.934,,-0.009
0.936,,-0.009
0.938,,-0.004
0.94,-1.76,-0.005
0.942,,-0.002
0.944,,-0.005
0.946,,1.28E-15
0.948,,-0.002
0.95,,-0.004
0.952,,-0.002
0.954,,-0.005
0.956,,-0.009
0.958,,-0.004
0.96,-0.01,-0.005
0.962,,-0.007
0.964,,0.002
0.966,,-0.005
0.968,,1.28E-15
0.97,,1.28E-15
0.972,,1.28E-15
0.974,,-0.009
0.976,,-0.009
0.978,,-0.005
0.98,-0.09,-0.007
0.982,,-0.004
0.984,,-0.002
0.986,,-0.002
0.988,,-0.002
0.99,,-0.002
0.992,,-0.007
0.994,,-0.004
0.996,,-0.009
0.998,,-0.002
1,-0.01,-0.004
1.002,,-0.002
1.004,,-0.007
1.006,,-0.002
1.008,,-0.002
1.01,,-0.004
1.012,,-0.002
1.014,,-0.005
1.016,,1.28E-15
1.018,,-0.005
1.02,0.01,-0.009
1.022,,-0.005
1.024,,0.005
1.026,,-0.004
1.028,,0.004
1.03,,-0.002
1.032,,-0.004
1.034,,-0.004
1.036,,-0.007
1.038,,-0.004
1.04,0,-0.002
1.042,,0.002
1.044,,1.28E-15
1.046,,-0.002
1.048,,-0.004
1.05,,1.28E-15
1.052,,-0.005
1.054,,0.002
1.056,,-0.004
1.058,,-0.004
1.06,-0.03,-0.004
1.062,,0.002
1.064,,0.004
1.066,,-0.002
1.068,,-0.004
1.07,,0.002
1.072,,-0.002
1.074,,-0.004
1.076,,-0.002
1.078,,-0.002
1.08,-0.05,-0.004
1.082,,1.28E-15
1.084,,0.007
1.086,,-0.005
1.088,,0.002
1.09,,-0.004
1.092,,-0.002
1.094,,-0.005
1.096,,-0.004
1.098,,-0.004
1.1,-0.01,-0.005
1.102,,-0.004
1.104,,0.002
1.106,,0.002
1.108,,-0.004
1.11,,0.004
1.112,,1.28E-15
1.114,,-0.009
1.116,,-0.002
1.118,,-0.007
1.12,0,0.002
1.122,,-0.005
1.124,,0.004
1.126,,1.28E-15
1.128,,-0.002
1.13,,1.28E-15
1.132,,-0.004
1.134,,-0.004
1.136,,1.28E-15
1.138,,-0.004
1.14,-1.69E-04,-0.007
1.142,,0.005
1.144,,0.002
1.146,,-0.002
1.148,,-0.002
1.15,,-0.004
1.152,,-0.005
1.154,,-0.005
1.156,,-0.005
1.158,,-0.005
1.16,0.01,-0.005
1.162,,0.002
1.164,,0.005
1.166,,-0.002
1.168,,0.004
1.17,,1.28E-15
1.172,,-0.005
1.174,,-0.007
1.176,,-0.002
1.178,,-0.005
1.18,-0.04,-0.005
1.182,,-0.004
1.184,,0.002
1.186,,-0.002
1.188,,-0.002
1.19,,0.002
1.192,,-0.004
1.194,,-0.005
1.196,,-0.004
1.198,,-0.004
1.2,0.02,-0.007
1.202,,-0.002
1.204,,0.005
1.206,,-0.002
1.208,,-0.005
1.21,,0.002
1.212,,1.28E-15
1.214,,-0.005
1.216,,-0.004
1.218,,-0.005
1.22,0,-0.004
1.222,,1.28E-15
1.224,,-0.004
1.226,,-0.005
1.228,,1.28E-15
1.23,,-0.005
1.232,,-0.002
1.234,,1.28E-15
1.236,,-0.004
1.238,,-0.005
1.24,-4.20E-04,1.28E-15
1.242,,-0.004
1.244,,0.004
1.246,,0.004
1.248,,-0.005
1.25,,-0.005
1.252,,1.28E-15
1.254,,1.28E-15
1.256,,-0.002
1.258,,0.004
1.26,0.02,0.002
1.262,,-0.002
1.264,,0.007
1.266,,0.002
1.268,,1.28E-15
1.27,,-0.004
1.272,,-0.004
1.274,,-0.004
1.276,,-0.007
1.278,,-0.007
1.28,-0.03,1.28E-15
1.282,,-0.007
1.284,,1.28E-15
1.286,,-0.002
1.288,,1.28E-15
1.29,,-0.005
1.292,,-0.002
1.294,,-0.002
1.296,,-0.004
1.298,,-0.005
1.3,-0.03,-0.005
1.302,,-0.009
1.304,,0.004
1.306,,0.002
1.308,,1.28E-15
1.31,,-0.002
1.312,,-0.005
1.314,,-0.002
1.316,,-0.004
1.318,,-0.007
1.32,0.03,1.28E-15
1.322,,-0.004
1.324,,0.002
1.326,,-0.002
1.328,,1.28E-15
1.33,,-0.002
1.332,,-0.005
1.334,,-0.004
1.336,,-0.002
1.338,,-0.007
1.34,0.01,-0.002
1.342,,1.28E-15
1.344,,-0.004
1.346,,0.004
1.348,,0.005
1.35,,-0.007
1.352,,-0.002
1.354,,0.002
1.356,,-0.005
1.358,,-0.002
1.36,-0.04,1.28E-15
1.362,,-0.002
1.364,,-0.002
1.366,,-0.007
1.368,,0.005
1.37,,-0.004
1.372,,0.004
1.374,,-0.004
1.376,,1.28E-15
1.378,,-0.007
1.38,0.03,-0.005
1.382,,-0.005
1.384,,0.002
1.386,,1.28E-15
1.388,,-0.004
1.39,,-0.005
1.392,,-0.005
1.394,,0.002
1.396,,-0.005
1.398,,-0.002
1.4,0.04,-0.005
1.402,,0.002
1.404,,0.002
1.406,,-0.004
1.408,,-0.005
1.41,,1.28E-15
1.412,,-0.002
1.414,,1.28E-15
1.416,,-0.007
1.418,,-0.007
1.42,-0.03,0.002
1.422,,-0.002
1.424,,0.004
1.426,,0.004
1.428,,-0.005
1.43,,-0.009
1.432,,-0.002
1.434,,-0.007
1.436,,-0.004
1.438,,-0.005
1.44,-0.01,-0.002
1.442,,-0.002
1.444,,0.004
1.446,,0.002
1.448,,-0.002
1.45,,-0.004
1.452,,-0.004
1.454,,-0.004
1.456,,-0.004
1.458,,1.28E-15
1.46,0.04,-0.005
1.462,,0.002
1.464,,1.28E-15
1.466,,-0.005
1.468,,-0.007
1.47,,-0.007
1.472,,-0.004
1.474,,-0.002
1.476,,-0.002
1.478,,-0.009
1.48,0.01,-0.004
1.482,,-0.005
1.484,,0.004
1.486,,-0.002
1.488,,1.28E-15
1.49,,-0.002
1.492,,-0.007
1.494,,-0.004
1.496,,-0.004
1.498,,-0.005
1.5,-0.03,-0.002
1.502,,-0.005
1.504,,1.28E-15
1.506,,-0.002
1.508,,-0.005
1.51,,-0.005
1.512,,-0.005
1.514,,-0.002
1.516,,-0.002
1.518,,-0.004
1.52,-0.02,-0.009
1.522,,1.28E-15
1.524,,0.005
1.526,,-0.002
1.528,,-0.002
1.53,,-0.004
1.532,,-0.007
1.534,,-0.002
1.536,,1.28E-15
1.538,,-0.005
1.54,0.01,-0.005
1.542,,-0.005
1.544,,0.002
1.546,,0.002
1.548,,-0.002
1.55,,-0.007
1.552,,0.002
1.554,,-0.005
1.556,,-0.004
1.558,,1.28E-15
1.56,0.05,-0.009
1.562,,0.002
1.564,,0.002
1.566,,1.28E-15
1.568,,-0.004
1.57,,-0.004
1.572,,1.28E-15
1.574,,-0.005
1.576,,-0.007
1.578,,-0.007
1.58,0.11,-0.002
1.582,,-0.002
1.584,,0.002
1.586,,-0.002
1.588,,-0.007
1.59,,-0.004
1.592,,-0.002
1.594,,1.28E-15
1.596,,1.28E-15
1.598,,-0.004
1.6,0.14,0.002
1.602,,-0.004
1.604,,1.28E-15
1.606,,0.002
1.608,,1.28E-15
1.61,,0.002
1.612,,-0.007
1.614,,-0.004
1.616,,0.002
1.618,,-0.004
1.62,0.15,-0.007
1.622,,0.002
1.624,,-0.002
1.626,,1.28E-15
1.628,,-0.002
1.63,,-0.005
1.632,,1.28E-15
1.634,,-0.002
1.636,,-0.005
1.638,,-0.009
1.64,0.16,-0.005
1.642,,-0.004
1.644,,-0.002
1.646,,-0.005
1.648,,-0.002
1.65,,0.002
1.652,,-0.004
1.654,,-0.005
1.656,,-0.004
1.658,,-0.004
1.66,0.17,-0.005
1.662,,-0.004
1.664,,0.002
1.666,,1.28E-15
1.668,,-0.004
1.67,,-0.002
1.672,,-0.005
1.674,,-0.004
1.676,,-0.005
1.678,,-0.005
1.68,0.16,-0.002
1.682,,0.002
1.684,,0.005
1.686,,0.002
1.688,,0.002
1.69,,-0.005
1.692,,-0.005
1.694,,-0.005
1.696,,-0.007
1.698,,-0.004
1.7,0.15,0.004
1.702,,-0.005
1.704,,1.28E-15
1.706,,0.002
1.708,,-0.005
1.71,,-0.002
1.712,,-0.005
1.714,,1.28E-15
1.716,,-0.002
1.718,,1.28E-15
1.72,0.15,-0.002
1.722,,-0.004
1.724,,0.004
1.726,,1.28E-15
1.728,,0.002
1.73,,-0.004
1.732,,-0.002
1.734,,-0.011
1.736,,-0.009
1.738,,-0.004
1.74,0.15,-0.004
1.742,,-0.004
1.744,,0.004
1.746,,-0.007
1.748,,1.28E-15
1.75,,1.28E-15
1.752,,-0.004
1.754,,-0.009
1.756,,-0.009
1.758,,-0.002
1.76,0.15,0.004
1.762,,0.002
1.764,,-0.002
1.766,,0.002
1.768,,-0.004
1.77,,0.005
1.772,,0.002
1.774,,1.28E-15
1.776,,-0.007
1.778,,-0.011
1.78,0.16,-0.009
1.782,,-0.004
1.784,,-0.004
1.786,,-0.004
1.788,,-0.002
1.79,,-0.002
1.792,,-0.004
1.794,,-0.004
1.796,,-0.002
1.798,,-0.005
1.8,0.16,-0.002
1.802,,1.28E-15
1.804,,-0.002
1.806,,1.28E-15
1.808,,0.002
1.81,,1.28E-15
1.812,,-0.009
1.814,,-0.002
1.816,,-0.007
1.818,,-0.005
1.82,0.17,-0.004
1.822,,-0.007
1.824,,0.004
1.826,,-0.002
1.828,,1.28E-15
1.83,,-0.005
1.832,,-0.004
1.834,,-0.004
1.836,,-0.002
1.838,,-0.002
1.84,0.17,-0.004
1.842,,-0.002
1.844,,0.002
1.846,,0.012
1.848,,1.28E-15
1.85,,-0.002
1.852,,1.28E-15
1.854,,-0.004
1.856,,-0.005
1.858,,-0.004
1.86,0.17,-0.004
1.862,,-0.004
1.864,,1.28E-15
1.866,,0.002
1.868,,1.28E-15
1.87,,-0.005
1.872,,-0.009
1.874,,0.002
1.876,,-0.004
1.878,,-0.002
1.88,0.18,-0.012
1.882,,0.002
1.884,,-0.002
1.886,,-0.002
1.888,,1.28E-15
1.89,,-0.002
1.892,,-0.005
1.894,,1.28E-15
1.896,,-0.004
1.898,,-0.007
1.9,0.18,-0.007
1.902,,-0.004
1.904,,0.004
1.906,,1.28E-15
1.908,,0.002
1.91,,-0.004
1.912,,-0.002
1.914,,1.28E-15
1.916,,-0.004
1.918,,-0.002
1.92,0.18,-0.005
1.922,,0.004
1.924,,0.002
1.926,,0.002
1.928,,-0.002
1.93,,-0.004
1.932,,-0.009
1.934,,-0.005
1.936,,-0.005
1.938,,-0.004
1.94,0.18,-0.005
1.942,,-0.002
1.944,,-0.002
1.946,,-0.004
1.948,,1.28E-15
1.95,,-0.004
1.952,,-0.005
1.954,,-0.005
1.956,,-0.004
1.958,,-0.004
1.96,0.18,-0.005
1.962,,-0.005
1.964,,0.004
1.966,,0.004
1.968,,1.28E-15
1.97,,-0.002
1.972,,-0.012
1.974,,-0.004
1.976,,-0.007
1.978,,-0.004
1.98,0.18,-0.005
1.982,,-0.002
1.984,,0.002
1.986,,-0.002
1.988,,1.28E-15
1.99,,-0.005
1.992,,-0.002
1.994,,-0.007
1.996,,-0.005
1.998,,-0.011
2,0.19,1.28E-15
2.002,,-0.004
2.004,,0.007
2.006,,1.28E-15
2.008,,-0.004
2.01,,0.002
2.012,,-0.002
2.014,,-0.002
2.016,,1.28E-15
2.018,,-0.004
2.02,0.2,-0.007
2.022,,-0.002
2.024,,1.28E-15
2.026,,-0.004
2.028,,1.28E-15
2.03,,-0.004
2.032,,-0.002
2.034,,-0.009
2.036,,-0.005
2.038,,-0.004
2.04,0.19,-0.002
2.042,,-0.002
2.044,,-0.002
2.046,,1.28E-15
2.048,,-0.005
2.05,,-0.007
2.052,,-0.002
2.054,,1.28E-15
2.056,,1.28E-15
2.058,,-0.005
2.06,0.19,-0.007
2.062,,-0.002
2.064,,-0.002
2.066,,1.28E-15
2.068,,-0.002
2.07,,-0.002
2.072,,0.002
2.074,,1.28E-15
2.076,,-0.009
2.078,,-0.004
2.08,0.2,-0.005
2.082,,1.28E-15
2.084,,-0.002
2.086,,-0.002
2.088,,-0.005
2.09,,-0.009
2.092,,1.28E-15
2.094,,-0.007
2.096,,-0.005
2.098,,-0.005
2.1,0.2,-0.002
2.102,,-0.004
2.104,,1.28E-15
2.106,,-0.004
2.108,,-0.002
2.11,,0.002
2.112,,-0.007
2.114,,-0.004
2.116,,-0.004
2.118,,-0.004
2.12,0.2,-0.007
2.122,,0.002
2.124,,0.002
2.126,,-0.004
2.128,,1.28E-15
2.13,,0.002
2.132,,0.002
2.134,,-0.009
2.136,,-0.005
2.138,,-0.004
2.14,0.2,-0.007
2.142,,0.004
2.144,,0.005
2.146,,-0.004
2.148,,1.28E-15
2.15,,-0.004
2.152,,1.28E-15
2.154,,-0.005
2.156,,-0.002
2.158,,-0.005
2.16,0.2,-0.002
2.162,,-0.004
2.164,,0.005
2.166,,0.002
2.168,,-0.005
2.17,,1.28E-15
2.172,,-0.007
2.174,,-0.004
2.176,,-0.007
2.178,,-0.007
2.18,0.21,-0.004
2.182,,-0.002
2.184,,0.004
2.186,,-0.002
2.188,,-0.004
2.19,,-0.002
2.192,,-0.002
2.194,,-0.002
2.196,,0.002
2.198,,-0.002
2.2,0.22,-0.004
2.202,,1.28E-15
2.204,,0.005
2.206,,-0.002
2.208,,1.28E-15
2.21,,-0.009
2.212,,-0.002
2.214,,-0.002
2.216,,-0.002
2.218,,-0.002
2.22,0.21,-0.005
2.222,,-0.005
2.224,,1.28E-15
2.226,,1.28E-15
2.228,,-0.002
2.23,,0.002
2.232,,-0.007
2.234,,-0.002
2.236,,-0.004
2.238,,-0.007
2.24,0.21,-0.004
2.242,,-0.002
2.244,,0.005
2.246,,-0.002
2.248,,1.28E-15
2.25,,-0.002
2.252,,1.28E-15
2.254,,-0.005
2.256,,1.28E-15
2.258,,-0.005
2.26,0.22,0.002
2.262,,-0.002
2.264,,1.28E-15
2.266,,0.002
2.268,,-0.004
2.27,,-0.004
2.272,,-0.002
2.274,,-0.002
2.276,,-0.005
2.278,,-0.004
2.28,0.22,-0.009
2.282,,-0.002
2.284,,0.004
2.286,,1.28E-15
2.288,,-0.004
2.29,,-0.005
2.292,,0.004
2.294,,-0.011
2.296,,0.002
2.298,,-0.005
2.3,0.22,-0.004
2.302,,-0.002
2.304,,1.28E-15
2.306,,-0.007
2.308,,1.28E-15
2.31,,-0.002
2.312,,-0.004
2.314,,-0.004
2.316,,-0.004
2.318,,1.28E-15
2.32,0.22,-0.007
2.322,,-0.004
2.324,,0.004
2.326,,0.002
2.328,,-0.005
2.33,,-0.002
2.332,,-0.011
2.334,,-0.005
2.336,,-0.007
2.338,,-0.005
2.34,0.23,-0.009
2.342,,-0.002
2.344,,0.004
2.346,,1.28E-15
2.348,,-0.004
2.35,,-0.005
2.352,,0.002
2.354,,-0.004
2.356,,0.002
2.358,,-0.009
2.36,0.23,-0.004
2.362,,-0.007
2.364,,0.004
2.366,,0.002
2.368,,1.28E-15
2.37,,0.007
2.372,,-0.007
2.374,,-0.005
2.376,,-0.005
2.378,,-0.004
2.38,0.23,-0.004
2.382,,0.002
2.384,,0.002
2.386,,1.28E-15
2.388,,0.004
2.39,,-0.004
2.392,,-0.002
2.394,,-0.011
2.396,,-0.002
2.398,,-0.007
2.4,0.23,0.004
2.402,,-0.009
2.404,,1.28E-15
2.406,,1.28E-15
2.408,,1.28E-15
2.41,,-0.004
2.412,,-0.005
2.414,,1.28E-15
2.416,,-0.007
2.418,,-0.007
2.42,0.24,-0.005
2.422,,0.004
2.424,,0.002
2.426,,0.005
2.428,,-0.004
2.43,,-0.004
2.432,,0.002
2.434,,-0.007
2.436,,1.28E-15
2.438,,-0.004
2.44,0.24,1.28E-15
2.442,,-0.005
2.444,,0.004
2.446,,-0.005
2.448,,0.009
2.45,,0.002
2.452,,1.28E-15
2.454,,-0.005
2.456,,-0.002
2.458,,-0.005
2.46,0.24,-0.007
2.462,,-0.007
2.464,,0.004
2.466,,1.28E-15
2.468,,-0.005
2.47,,0.004
2.472,,-0.004
2.474,,1.28E-15
2.476,,-0.009
2.478,,-0.004
2.48,0.24,-0.004
2.482,,1.28E-15
2.484,,0.004
2.486,,-0.002
2.488,,0.002
2.49,,-0.002
2.492,,1.28E-15
2.494,,-0.005
2.496,,1.28E-15
2.498,,-0.007
2.5,0.24,-0.002
2.502,,1.28E-15
2.504,,0.004
2.506,,1.28E-15
2.508,,-0.005
2.51,,1.28E-15
2.512,,-0.004
2.514,,1.28E-15
2.516,,-0.009
2.518,,-0.004
2.52,0.24,-0.005
2.522,,0.002
2.524,,0.002
2.526,,-0.002
2.528,,1.28E-15
2.53,,-0.009
2.532,,-0.002
2.534,,-0.005
2.536,,-0.002
2.538,,-0.007
2.54,0.25,0.002
2.542,,1.28E-15
2.544,,0.007
2.546,,0.002
2.548,,-0.004
2.55,,-0.002
2.552,,-0.005
2.554,,-0.002
2.556,,-0.007
2.558,,-0.002
2.56,0.25,-0.009
2.562,,0.009
2.564,,-0.004
2.566,,0.007
2.568,,-0.007
2.57,,0.002
2.572,,-0.002
2.574,,-0.004
2.576,,1.28E-15
2.578,,-0.002
2.58,0.25,0.002
2.582,,0.002
2.584,,0.005
2.586,,-0.002
2.588,,0.002
2.59,,-0.004
2.592,,-0.002
2.594,,-0.005
2.596,,-0.004
2.598,,-0.004
2.6,0.25,-0.005
2.602,,1.28E-15
2.604,,0.004
2.606,,0.004
2.608,,-0.007
2.61,,0.004
2.612,,-0.004
2.614,,-0.007
2.616,,-0.002
2.618,,0.002
2.62,0.25,0.002
2.622,,-0.005
2.624,,0.004
2.626,,0.002
2.628,,0.007
2.63,,-0.005
2.632,,1.28E-15
2.634,,0.002
2.636,,-0.002
2.638,,-0.005
2.64,0.26,-0.005
2.642,,-0.002
2.644,,0.005
2.646,,0.002
2.648,,-0.002
2.65,,1.28E-15
2.652,,1.28E-15
2.654,,-0.004
2.656,,1.28E-15
2.658,,-0.004
2.66,0.26,-0.002
2.662,,-0.007
2.664,,0.009
2.666,,-0.002
2.668,,0.002
2.67,,-0.009
2.672,,0.002
